case_id,family,split,severity,nominal_success,nominal_outcome,v1_minus_nominal_success,v2_minus_nominal_success,v1_success,v2_success,v1_outcome,v2_outcome,success_delta,neither_intervenes,v2_new_branch_used,v2_trigger_branches,v1_first_trigger_s,v2_first_trigger_s,first_trigger_time_equal,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h017_oblique_offset_moderate_v1,oblique_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.716666666790388,0.01505174702571981,0.0035407523776967136,0.0021226338716050764,False,1167,61
h018_oblique_offset_moderate_v2,oblique_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.733333333457267,0.03954049014494398,0.02190032548715808,0.011686663910274864,False,1169,190
h019_oblique_offset_moderate_v3,oblique_offset,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.791666666791343,0.017886873356932176,0.011683853392923074,0.0043568370618017604,False,1176,215
h020_oblique_offset_severe_v0,oblique_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.974999999854845,0.04302867090343823,0.0044289784194692,0.00446551620670301,False,1198,119
h021_oblique_offset_severe_v1,oblique_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.633333333468727,0.04403394025929347,0.009975303050617485,0.007266232716650309,False,1277,366
h022_oblique_offset_severe_v2,oblique_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.066666666520177,0.05616712721201035,0.0018572291019200305,0.01053789106614809,False,1209,259
h023_oblique_offset_severe_v3,oblique_offset,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.42500000013274,0.0013667296529176354,0.008775883121701064,0.0032462452623134297,False,1252,234
h024_axis_tilt_moderate_v0,axis_tilt,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.958333333341258,0.05739302008738675,0.02547913755336151,0.010064850849587668,False,1196,113
h025_axis_tilt_moderate_v1,axis_tilt,held_out,moderate,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.999999999990905,9.999999999990905,True,False,9.999999999990905,0.020718408240415438,0.017943459783562564,0.016005709216770598,False,1201,270
h026_axis_tilt_moderate_v2,axis_tilt,held_out,moderate,False,time_budget_exhausted,0,1,False,True,time_budget_exhausted,insertion_success,1,False,True,terminal,,10.899999999990087,,False,10.899999999990087,0.008272564379145102,0.004658268507178456,0.004081397962836409,False,1309,335
h027_axis_tilt_moderate_v3,axis_tilt,held_out,moderate,False,time_budget_exhausted,0,1,False,True,time_budget_exhausted,insertion_success,1,False,True,terminal,,10.999999999839929,,True,10.999999999839929,0.0,0.0,0.0,True,1321,0
h028_axis_tilt_severe_v0,axis_tilt,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,8.799999999991996,8.799999999991996,True,False,8.799999999991996,0.021286415066199084,0.007193636129069333,0.006994986089055317,False,1057,206
h029_axis_tilt_severe_v1,axis_tilt,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.099999999991724,9.099999999991724,True,False,9.099999999991724,0.017515180431096043,0.020866391011949596,0.0038023574516940902,False,1093,181
h030_axis_tilt_severe_v2,axis_tilt,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,False,9.233333333324936,0.011082183258277348,0.004179914640324004,0.0019140471861273532,False,1109,112
h031_axis_tilt_severe_v3,axis_tilt,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,False,9.68333333345663,0.04975384174340934,0.07363594827613229,0.008192837787202081,False,1163,81
h032_oblique_tilt_moderate_v0,oblique_tilt,held_out,moderate,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.999999999990905,9.999999999990905,True,False,9.999999999990905,0.006441665161126361,0.04174206598504227,0.01123428801062702,False,1201,290
h033_oblique_tilt_moderate_v1,oblique_tilt,held_out,moderate,False,time_budget_exhausted,0,1,False,True,time_budget_exhausted,insertion_success,1,False,True,terminal,,10.800000000137516,,True,10.800000000137516,0.0,0.0,0.0,True,1297,0
h034_oblique_tilt_moderate_v2,oblique_tilt,held_out,moderate,False,time_budget_exhausted,0,1,False,True,time_budget_exhausted,insertion_success,1,False,True,terminal,,11.400000000145155,,False,11.400000000145155,0.005536504058106633,0.003891408495242667,0.0037318613072850324,False,1369,352
h035_oblique_tilt_moderate_v3,oblique_tilt,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,10.366666666515812,0.06048492216290566,0.024787873026059417,0.010704640260888677,False,1245,158
h036_oblique_tilt_severe_v0,oblique_tilt,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.099999999991724,9.099999999991724,True,True,9.099999999991724,0.0,0.0,0.0,True,1093,0
h037_oblique_tilt_severe_v1,oblique_tilt,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,False,False,normal,,9.399999999863212,,False,9.399999999863212,0.019456095165459566,0.01730486297149825,0.005190238326569372,False,1129,136
h038_oblique_tilt_severe_v2,oblique_tilt,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,True,urgent,9.499999999861757,9.399999999863212,False,False,9.399999999863212,0.017494763121580936,0.00798149141492722,0.0010671559752898517,False,1129,48
h039_oblique_tilt_severe_v3,oblique_tilt,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,8.799999999871943,8.799999999871943,True,True,8.799999999871943,0.0,0.0,0.0,True,1057,0
h040_combined_moderate_v0,combined,held_out,moderate,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.899999999855936,9.899999999855936,True,False,9.899999999855936,0.002799558481721623,0.009310601531266621,0.0017205729452356312,False,1189,92
h041_combined_moderate_v1,combined,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.641666666657898,0.0,0.0,0.0,True,1158,0
