case_id,family,group_id,split,severity,detector,shadow_alert_on_success,first_shadow_alert_s,shadow_branch,actual_intervention_on_nominal_success,actual_interventions,controlled_success,controlled_safety_stop,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h021_oblique_offset_severe_v1,oblique_offset,h021_oblique_offset_severe_v1,held_out,severe,v1,False,,,False,0,True,False,False,10.633333333468727,0.04403394025929347,0.009975303050617485,0.007266232716650309,False,1277,366
h021_oblique_offset_severe_v1,oblique_offset,h021_oblique_offset_severe_v1,held_out,severe,v2,False,,,False,0,True,False,True,10.633333333468727,0.0,0.0,0.0,True,1277,0
h022_oblique_offset_severe_v2,oblique_offset,h022_oblique_offset_severe_v2,held_out,severe,v1,False,,,False,0,True,False,True,10.183333333185146,0.0,0.0,0.0,True,1223,0
h022_oblique_offset_severe_v2,oblique_offset,h022_oblique_offset_severe_v2,held_out,severe,v2,False,,,False,0,True,False,False,10.066666666520177,0.05616712721201035,0.0018572291019200305,0.01053789106614809,False,1209,259
h023_oblique_offset_severe_v3,oblique_offset,h023_oblique_offset_severe_v3,held_out,severe,v1,False,,,False,0,True,False,True,10.458333333466499,0.0,0.0,0.0,True,1256,0
h023_oblique_offset_severe_v3,oblique_offset,h023_oblique_offset_severe_v3,held_out,severe,v2,False,,,False,0,True,False,False,10.42500000013274,0.0013667296529176354,0.008775883121701064,0.0032462452623134297,False,1252,234
h024_axis_tilt_moderate_v0,axis_tilt,h024_axis_tilt_moderate_v0,held_out,moderate,v1,False,,,False,0,True,False,True,10.000000000007958,0.0,0.0,0.0,True,1201,0
h024_axis_tilt_moderate_v0,axis_tilt,h024_axis_tilt_moderate_v0,held_out,moderate,v2,False,,,False,0,True,False,False,9.958333333341258,0.05739302008738675,0.02547913755336151,0.010064850849587668,False,1196,113
h035_oblique_tilt_moderate_v3,oblique_tilt,h035_oblique_tilt_moderate_v3,held_out,moderate,v1,False,,,False,0,True,False,True,10.366666666515812,0.0,0.0,0.0,True,1245,0
h035_oblique_tilt_moderate_v3,oblique_tilt,h035_oblique_tilt_moderate_v3,held_out,moderate,v2,False,,,False,0,True,False,False,10.366666666515812,0.06048492216290566,0.024787873026059417,0.010704640260888677,False,1245,158
h041_combined_moderate_v1,combined,h041_combined_moderate_v1,held_out,moderate,v1,False,,,False,0,True,False,False,9.641666666657898,0.009795884157438445,0.015248167873933698,0.001354259567378456,False,1158,53
h041_combined_moderate_v1,combined,h041_combined_moderate_v1,held_out,moderate,v2,False,,,False,0,True,False,False,9.641666666657898,0.009795884157438445,0.015248167873933698,0.001354259567378456,False,1158,53
h042_combined_moderate_v2,combined,h042_combined_moderate_v2,held_out,moderate,v1,False,,,False,0,True,False,True,9.658333333192786,0.0,0.0,0.0,True,1160,0
h042_combined_moderate_v2,combined,h042_combined_moderate_v2,held_out,moderate,v2,False,,,False,0,True,False,False,9.658333333192786,0.04857272945658161,0.010011556995116227,0.0008676375906458417,False,1160,22
