cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
all,stalled_vs_success,band10_15,translation_sensitivity,157,24,111,0.7336742988754911,0.5715028431018345,0.8680187906635275,0.7138192656821568,0.01985503319333426,-0.03844855076192582,0.08214831267180799,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,lateral_tilt_sensitivity,157,24,111,0.7211353475138872,0.5512080360925373,0.861745035647953,0.7138192656821568,0.007316081831730381,-0.056490532308522,0.08168852430605894,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,force_norm,157,24,111,0.7138192656821568,0.5573715503116096,0.8578901016157181,0.7138192656821568,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,torque_norm,157,24,111,0.789418777943368,0.6151699854012626,0.923280403896215,0.7138192656821568,0.0755995122612112,0.029359571841947273,0.1300028127813951,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,normal_load,157,24,111,0.7223546944858419,0.5737979716617867,0.8599329213614174,0.7138192656821568,0.008535428803685075,0.001103086269567244,0.021799529584704415,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,progress_rate,157,24,111,0.8677956916406994,0.7699592951757995,0.9460145665527518,0.7138192656821568,0.15397642595854255,0.05820954344225528,0.26535078241286236,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,abs_dforce_dt,157,24,111,0.8017951497087116,0.6173722594088693,0.9484314588511461,0.7138192656821568,0.08797588402655476,0.016984190425437532,0.1599753007477014,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,rms_dforce_dt,157,24,111,0.7019306327055954,0.5489689622964912,0.8339546253124946,0.7138192656821568,-0.011888632976561397,-0.07249258070443595,0.05428246586810566,descriptive grouped association; no held-out classifier or causal inference
all,stalled_vs_success,band10_15,abs_dforce_ddepth,157,24,111,0.608772524048232,0.4563832189320807,0.728178819986316,0.7138192656821568,-0.1050467416339248,-0.1909190779815238,-0.021604716836699577,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,full_sensitivity,170,37,117,0.9511823035850496,0.8881784573267208,0.9842260748510748,0.9768261232792125,-0.02564381969416285,-0.08457868498435323,0.013746599992109332,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,translation_sensitivity,170,37,117,0.9417384039809669,0.865570605614469,0.9817689709850727,0.9768261232792125,-0.03508771929824561,-0.10774594671302379,0.007827714148217499,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,lateral_tilt_sensitivity,170,37,117,0.9355635465475283,0.8827333365530932,0.9786484773628484,0.9768261232792125,-0.04126257673168421,-0.09837537433568597,0.00786311694369059,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,force_norm,170,37,117,0.9768261232792125,0.9474633412590996,0.99541499268577,0.9768261232792125,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,torque_norm,170,37,117,0.999418836947441,0.9956947233508202,1.0,0.9768261232792125,0.02259271366822857,0.003419339253630263,0.052527237906265,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,normal_load,170,37,117,0.9866332497911445,0.9687491231762065,0.9970644447994328,0.9768261232792125,0.009807126511932052,-0.001984802274870337,0.030161785840487978,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,progress_rate,170,37,117,0.7062220769314591,0.6068946684032814,0.7962040528780407,0.9768261232792125,-0.27060404634775337,-0.3613255513425179,-0.17935391754727484,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,abs_dforce_dt,170,37,117,0.7698594311866623,0.6815567683018103,0.8436265150311312,0.9768261232792125,-0.20696669209255014,-0.28049223840607446,-0.13876533007646066,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,rms_dforce_dt,170,37,117,0.8978605935127675,0.8118179293969339,0.964494110043025,0.9768261232792125,-0.078965529766445,-0.16502546265477308,-0.016698358561977274,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,whole,abs_dforce_ddepth,170,37,117,0.8089063237804657,0.7000507866286554,0.8847478395753366,0.9768261232792125,-0.1679197994987468,-0.2699539260734493,-0.0937757966647537,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,full_sensitivity,170,37,117,0.7658457738549271,0.6527257055132597,0.8719763940197657,0.6940176528277214,0.0718281210272057,-0.008576652480638061,0.14841082961992397,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,translation_sensitivity,170,37,117,0.7343903236351749,0.6136582749307151,0.8400817348909905,0.6940176528277214,0.04037267080745344,-0.03334770883797537,0.11053765016679035,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,lateral_tilt_sensitivity,170,37,117,0.7785587156296538,0.6725896514665867,0.8786821837335034,0.6940176528277214,0.08454106280193241,0.023548976478518484,0.15203970997312566,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,force_norm,170,37,117,0.6940176528277214,0.5730400132803009,0.8014504039369631,0.6940176528277214,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,torque_norm,170,37,117,0.7681159420289855,0.6417480688513331,0.8741122419219186,0.6940176528277214,0.07409828920126404,0.036546315606997115,0.1252248375426872,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,normal_load,170,37,117,0.7047691693000617,0.5880459155022391,0.8066312651303175,0.6940176528277214,0.010751516472340295,0.0034877025707365397,0.022115522205717424,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,progress_rate,170,37,117,0.8488976063346773,0.7669086246276926,0.9311626809073046,0.6940176528277214,0.15487995350695583,0.048093849024817975,0.27233675154826364,descriptive grouped association; no held-out classifier or causal inference
