cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
Phase2B,stalled_vs_success,whole,lateral_tilt_sensitivity,61,21,22,0.9476744186046508,0.8805739402991359,0.9948860021604395,0.9917690096681475,-0.04409459106349667,-0.1137739518763149,0.004772019025750343,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,force_norm,61,21,22,0.9917690096681475,0.9701931597078428,1.0000000000000002,0.9917690096681475,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,torque_norm,61,21,22,0.9999999999999999,0.9999999999999999,1.0000000000000004,0.9917690096681475,0.008230990331852372,-2.220446049250313e-16,0.029806840292157164,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,normal_load,61,21,22,0.9999999999999999,0.9999999999999999,1.0000000000000004,0.9917690096681475,0.008230990331852372,-2.220446049250313e-16,0.029806840292157164,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,progress_rate,61,21,22,0.8114711262085186,0.6218243076003925,0.9473333333333334,0.9917690096681475,-0.18029788345962894,-0.3781756923996077,-0.03446404928992121,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,abs_dforce_dt,61,21,22,0.9864776587405277,0.9606238155418417,1.0000000000000002,0.9917690096681475,-0.005291350927619787,-0.029760488513394884,0.017864774114774155,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,rms_dforce_dt,61,21,22,0.9843219231774233,0.9503398536280926,1.0000000000000002,0.9917690096681475,-0.007447086490724231,-0.04882399908948791,0.02577276416765021,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,whole,abs_dforce_ddepth,61,21,22,0.9229814476090932,0.8401726387448105,0.9899767291421958,0.9917690096681475,-0.06878756205905434,-0.14927020504074587,-0.007123668955504044,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,full_sensitivity,61,21,22,0.7912856022994516,0.6058805189526825,0.9455173928817393,0.8161745492552915,-0.024888946955839986,-0.06400696208420127,0.010628283898569915,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,translation_sensitivity,61,21,22,0.7912856022994516,0.6058805189526825,0.9455173928817393,0.8161745492552915,-0.024888946955839986,-0.06400696208420127,0.010628283898569915,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,lateral_tilt_sensitivity,61,21,22,0.791873530180298,0.6058805189526825,0.9436457226485634,0.8161745492552915,-0.02430101907499349,-0.06346509949868906,0.010827874290672125,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,force_norm,61,21,22,0.8161745492552915,0.6410779891053582,0.945098546904206,0.8161745492552915,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,torque_norm,61,21,22,0.8185262607786781,0.6459291352072907,0.9473648175653631,0.8161745492552915,0.002351711523386535,0.0,0.010702639751552704,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,normal_load,61,21,22,0.8161745492552915,0.6410779891053582,0.945098546904206,0.8161745492552915,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,progress_rate,61,21,22,0.8178730075777374,0.6661113980716253,0.933226723525231,0.8161745492552915,0.0016984583224458616,-0.12123799920629784,0.11872587721618764,descriptive grouped association; no held-out classifier or causal inference
