trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s
slot000_try00,0,0,centered,0.0,0.0,0.0,0.0,6.376472775231715
slot001_try00,1,0,x_offset,0.3039486539059133,0.0,0.0,0.0,5.926994743547945
slot002_try00,2,0,y_offset,0.0,0.6605899687582676,0.0,0.0,6.446312757672068
slot003_try00,3,0,diagonal_offset,0.27273013231602994,0.27273013231602994,0.0,0.0,6.769635487866183
slot004_try00,4,0,tilt_only,0.0,0.0,1.8569474624764788,0.0,6.533153423861289
slot005_try00,5,0,offset_tilt,0.4964073235143819,0.4964073235143819,1.1025624757802235,0.0,5.389790454705545
slot006_try00,6,0,centered,0.0,0.0,0.0,0.0,5.741812525322298
slot007_try00,7,0,x_offset,-0.31557941704712866,0.0,0.0,0.0,5.048762658842928
slot008_try00,8,0,y_offset,0.0,-0.7041972873151184,0.0,0.0,6.179087031992221
slot009_try00,9,0,diagonal_offset,-0.17230311921736066,0.17230311921736066,0.0,0.0,6.348561347159965
slot010_try00,10,0,tilt_only,0.0,0.0,0.0,2.473337772952688,6.390649745018263
slot011_try00,11,0,offset_tilt,-0.39449304886935094,0.39449304886935094,1.537657238370022,0.0,6.069685941561598
slot012_try00,12,0,centered,0.0,0.0,0.0,0.0,5.849051193331772
slot013_try00,13,0,x_offset,0.47659953615999073,0.0,0.0,0.0,5.815021131271444
slot014_try00,14,0,y_offset,0.0,0.7155716572424579,0.0,0.0,6.8179525132670085
slot015_try00,15,0,diagonal_offset,-0.17153309124229213,-0.17153309124229213,0.0,0.0,5.205136275107603
slot016_try00,16,0,tilt_only,0.0,0.0,-2.0016020431181625,0.0,5.002964992009528
slot017_try00,17,0,offset_tilt,-0.11902394989550803,-0.11902394989550803,0.5942101668163308,0.0,5.906381437573076
slot018_try00,18,0,centered,0.0,0.0,0.0,0.0,5.177772640872236
