case_id,family,severity,detector,nominal_success,nominal_outcome,nominal_stalled,nominal_first_stall_s,nominal_safety_time_s,shadow_triggered,first_trigger_time_s,first_trigger_depth_mm,branch,wrist_force_at_trigger_n,eta_at_trigger,actual_progress_rate_mm_s,command_progress_rate_mm_s,safety_lead_s,stall_lead_s,safe_alarm_checks,false_alert,actual_interventions,actual_prefix_matched_to_nominal
ft040_combined_moderate_v0,combined,moderate,force,False,time_budget_exhausted,True,9.866666666523088,,True,9.899999999855936,19.339022785425186,force,1.221108078956604,0.07860733344936098,0.0734180212020874,0.9339843749996106,,-0.03333333333284827,1,False,1,True
ft040_combined_moderate_v0,combined,moderate,productivity,False,time_budget_exhausted,True,9.866666666523088,,True,9.899999999855936,19.339022785425186,normal,1.221108078956604,0.07860733344936098,0.0734180212020874,0.9339843749996106,,-0.03333333333284827,75,False,1,False
ft041_combined_moderate_v1,combined,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft041_combined_moderate_v1,combined,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft042_combined_moderate_v2,combined,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft042_combined_moderate_v2,combined,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft043_combined_moderate_v3,combined,moderate,force,False,time_budget_exhausted,True,9.699999999858846,,True,12.299999999821011,19.015052914619446,force,1.7349131107330322,,-0.02615898847579956,0.0,,-2.599999999962165,7,False,1,False
ft043_combined_moderate_v3,combined,moderate,productivity,False,time_budget_exhausted,True,9.699999999858846,,True,9.699999999858846,19.064506143331528,normal,0.8088726997375488,0.13936277500258573,0.19973516464233398,1.433203124999686,,0.0,72,False,1,True
ft044_combined_severe_v0,combined,severe,force,False,grasp_retention_limit,False,,9.124999999867214,False,,,,,,,,,,0,False,0,True
ft044_combined_severe_v0,combined,severe,productivity,False,grasp_retention_limit,False,,9.124999999867214,False,,,,,,,,,,0,False,0,False
ft045_combined_severe_v1,combined,severe,force,False,grasp_retention_limit,False,,9.649999999859574,False,,,,,,,,,,0,False,0,True
ft045_combined_severe_v1,combined,severe,productivity,False,grasp_retention_limit,False,,9.649999999859574,False,,,,,,,,,,0,False,0,False
ft046_combined_severe_v2,combined,severe,force,False,grasp_retention_limit,True,8.691666666540186,8.924999999870124,True,8.699999999873398,15.854967385530474,force,1.1919138431549072,0.03187623742508576,0.11180341243743896,3.5074218749999844,0.22499999999672582,-0.008333333333212067,3,False,1,False
ft046_combined_severe_v2,combined,severe,productivity,False,grasp_retention_limit,True,8.691666666540186,8.924999999870124,True,8.699999999873398,15.854967385530474,normal,1.1919138431549072,0.03187623742508576,0.11180341243743896,3.5074218749999844,0.22499999999672582,-0.008333333333212067,3,False,1,True
ft047_combined_severe_v3,combined,severe,force,False,grasp_retention_limit,False,,8.791666666538731,False,,,,,,,,,,0,False,0,False
ft047_combined_severe_v3,combined,severe,productivity,False,grasp_retention_limit,False,,8.791666666538731,False,,,,,,,,,,0,False,0,False
ft048_terminal_band_moderate_v0,terminal_band,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft048_terminal_band_moderate_v0,terminal_band,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft049_terminal_band_moderate_v1,terminal_band,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft049_terminal_band_moderate_v1,terminal_band,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft050_terminal_band_moderate_v2,terminal_band,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft050_terminal_band_moderate_v2,terminal_band,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft051_terminal_band_moderate_v3,terminal_band,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft051_terminal_band_moderate_v3,terminal_band,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft052_terminal_band_severe_v0,terminal_band,severe,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft052_terminal_band_severe_v0,terminal_band,severe,productivity,True,insertion_success,False,,,True,9.699999999858846,19.363099336624146,normal,0.28287357091903687,0.24025106858939493,0.3443285822868347,1.433203124999686,,,1,True,0,False
ft053_terminal_band_severe_v1,terminal_band,severe,force,False,time_budget_exhausted,True,9.499999999861757,,True,9.399999999863212,18.360865861177444,force,1.585537314414978,0.2832050564923155,0.6030276417732239,2.129296874999781,,0.09999999999854481,23,False,1,False
ft053_terminal_band_severe_v1,terminal_band,severe,productivity,False,time_budget_exhausted,True,9.499999999861757,,True,9.499999999861757,18.362460285425186,normal,0.7890527248382568,0.09457319210738414,0.18009543418884277,1.9042968749997513,,0.0,120,False,1,True
ft054_terminal_band_severe_v2,terminal_band,severe,force,False,time_budget_exhausted,True,9.683333333192422,,False,,,,,,,,,,0,False,1,False
ft054_terminal_band_severe_v2,terminal_band,severe,productivity,False,time_budget_exhausted,True,9.683333333192422,,True,9.699999999858846,18.7920942902565,normal,0.6661122441291809,0.081570475326976,0.11690706014633179,1.433203124999686,,-0.016666666666424135,119,False,1,True
ft055_terminal_band_severe_v3,terminal_band,severe,force,False,grasp_retention_limit,False,,10.716666666510719,False,,,,,,,,,,0,False,0,False
ft055_terminal_band_severe_v3,terminal_band,severe,productivity,False,grasp_retention_limit,False,,10.716666666510719,False,,,,,,,,,,0,False,1,False
ft056_late_combined_moderate_v0,late_combined,moderate,force,False,grasp_retention_limit,False,,9.574999999860665,False,,,,,,,,,,0,False,0,False
ft056_late_combined_moderate_v0,late_combined,moderate,productivity,False,grasp_retention_limit,False,,9.574999999860665,False,,,,,,,,,,0,False,0,True
ft057_late_combined_moderate_v1,late_combined,moderate,force,False,grasp_retention_limit,False,,9.899999999855936,False,,,,,,,,,,0,False,0,False
ft057_late_combined_moderate_v1,late_combined,moderate,productivity,False,grasp_retention_limit,False,,9.899999999855936,False,,,,,,,,,,0,False,0,False
