case_id,family,severity,sign_variant,ramp_onset_mm,offset_magnitude_mm,tilt_magnitude_deg,final_offset_x_mm,final_offset_y_mm,final_roll_deg,final_pitch_deg,nominal_insertion_success,nominal_outcome,nominal_failure_class,nominal_final_depth_mm,nominal_verified_unloadings,nominal_retry_successes,nominal_safety_stop,axial_insertion_success,axial_outcome,axial_failure_class,axial_final_depth_mm,axial_verified_unloadings,axial_retry_successes,axial_safety_stop,dewedge_insertion_success,dewedge_outcome,dewedge_failure_class,dewedge_final_depth_mm,dewedge_verified_unloadings,dewedge_retry_successes,dewedge_safety_stop,force_insertion_success,force_outcome,force_failure_class,force_final_depth_mm,force_verified_unloadings,force_retry_successes,force_safety_stop
g035_cross_axis_combined_moderate_v3,cross_axis_combined,moderate,3,12.0,0.7,3.5,0.0,-0.7,0.0,3.5,False,time_budget_exhausted,nominal_no_success_within_budget,19.339004158973694,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.417279958724976,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.339004158973694,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.339004158973694,0,0,False
g036_cross_axis_combined_severe_v0,cross_axis_combined,severe,0,15.0,1.2,7.0,1.2,0.0,7.0,0.0,False,time_budget_exhausted,nominal_stall,18.03222820162773,0,0,False,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,17.706622928380966,0,0,False,True,insertion_success,success,19.788695126771927,1,1,False,False,time_budget_exhausted,stalled_after_retry,18.031460791826248,0,0,False
g037_cross_axis_combined_severe_v1,cross_axis_combined,severe,1,7.0,1.2,7.0,-1.2,0.0,-7.0,0.0,False,time_budget_exhausted,nominal_stall,15.521531552076341,0,0,False,False,time_budget_exhausted,stalled_after_retry,14.761330187320711,2,0,False,True,insertion_success,success,19.809966534376144,1,1,False,False,time_budget_exhausted,stalled_after_retry,14.812597632408144,0,0,False
g038_cross_axis_combined_severe_v2,cross_axis_combined,severe,2,12.0,1.2,7.0,0.0,1.2,0.0,-7.0,False,time_budget_exhausted,nominal_stall,16.77590385079384,0,0,False,False,time_budget_exhausted,stalled_after_retry,16.194847971200943,2,0,False,True,insertion_success,success,19.815301150083542,1,1,False,False,time_budget_exhausted,stalled_after_retry,16.79193750023842,0,0,False
g039_cross_axis_combined_severe_v3,cross_axis_combined,severe,3,15.0,1.2,7.0,0.0,-1.2,0.0,7.0,False,grasp_retention_limit,grasp_retention_limit_during_insertion,17.912273854017258,0,0,True,False,time_budget_exhausted,stalled_after_retry,15.8609576523304,2,0,False,True,insertion_success,success,19.745861738920212,1,1,False,False,time_budget_exhausted,stalled_after_retry,17.76827648282051,0,0,False
g040_oblique_combined_moderate_v0,oblique_combined,moderate,0,15.0,0.7,3.5000000000000004,0.5599999999999999,0.42,2.8000000000000003,-2.1,True,insertion_success,success,19.65234950184822,0,0,False,True,insertion_success,success,19.65234950184822,0,0,False,True,insertion_success,success,19.67896670103073,0,0,False,True,insertion_success,success,19.67896670103073,0,0,False
g041_oblique_combined_moderate_v1,oblique_combined,moderate,1,7.0,0.7,3.5000000000000004,-0.5599999999999999,-0.42,-2.8000000000000003,2.1,False,time_budget_exhausted,nominal_no_success_within_budget,19.423802942037582,0,0,False,False,time_budget_exhausted,stalled_after_retry,19.04994770884514,2,0,False,True,insertion_success,success,19.97690424323082,1,1,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.420673698186874,0,0,False
g042_oblique_combined_moderate_v2,oblique_combined,moderate,2,12.0,0.7,3.5000000000000004,0.5599999999999999,-0.42,2.8000000000000003,2.1,False,time_budget_exhausted,nominal_no_success_within_budget,19.42261829972267,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.42261829972267,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.424808770418167,0,0,False,False,time_budget_exhausted,no_policy_trigger_before_timeout,19.424808770418167,0,0,False
g043_oblique_combined_moderate_v3,oblique_combined,moderate,3,15.0,0.7,3.5000000000000004,-0.5599999999999999,0.42,-2.8000000000000003,-2.1,True,insertion_success,success,19.508929550647736,0,0,False,True,insertion_success,success,19.508929550647736,0,0,False,True,insertion_success,success,19.516607373952866,0,0,False,True,insertion_success,success,19.508929550647736,0,0,False
g044_oblique_combined_severe_v0,oblique_combined,severe,0,7.0,1.2,7.000000000000001,0.96,0.72,5.6000000000000005,-4.2,False,time_budget_exhausted,nominal_stall,15.749232470989229,0,0,False,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,15.730922669172289,0,0,False,True,insertion_success,success,19.82867494225502,1,1,False,False,time_budget_exhausted,stalled_after_retry,15.750189870595934,0,0,False
g045_oblique_combined_severe_v1,oblique_combined,severe,1,12.0,1.2,7.000000000000001,-0.96,-0.72,-5.6000000000000005,4.2,False,grasp_retention_limit,grasp_retention_limit_during_insertion,17.364708334207535,0,0,True,False,grasp_retention_limit,grasp_retention_limit_during_insertion,17.364708334207535,0,0,True,False,grasp_retention_limit,grasp_retention_limit_during_insertion,17.38719791173935,0,0,True,False,grasp_retention_limit,grasp_retention_limit_during_insertion,17.364708334207535,0,0,True
g046_oblique_combined_severe_v2,oblique_combined,severe,2,15.0,1.2,7.000000000000001,0.96,-0.72,5.6000000000000005,4.2,False,grasp_retention_limit,grasp_retention_limit_during_insertion,18.109609931707382,0,0,True,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,18.080295622348785,0,0,False,True,insertion_success,success,19.766954332590103,1,1,False,False,time_budget_exhausted,stalled_after_retry,17.915835231542587,0,0,False
g047_oblique_combined_severe_v3,oblique_combined,severe,3,7.0,1.2,7.000000000000001,-0.96,0.72,-5.6000000000000005,-4.2,False,time_budget_exhausted,nominal_stall,15.792181342840196,0,0,False,False,unloading_budget_exhausted,unloading_not_ready_within_frozen_budget,15.770604461431505,0,0,False,True,insertion_success,success,19.83279511332512,1,1,False,False,time_budget_exhausted,stalled_after_retry,15.58191850781441,0,0,False
