evaluation,horizon_s,model,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
stage4,0.5,torque_only,320,13,13,0.2566389845937078,0.4208352705372404,-0.4003713987908164,0.662659056678953,0.1725866849612669,0.8147290934747227,0.9446745562130181
quarantined_shared_path,0.5,torque_only,1047,13,39,0.13872422767595452,0.27618103822809964,-0.18613194180829873,0.5591288409117344,0.06850498624914528,0.9443429744375057,0.9883080026435316
development_oof,0.5,current_progress,4314,104,118,0.05313471401347708,0.10893475779779652,0.5068071936001215,0.7122804078990832,0.009305438151592002,1.039971702138848,0.6745791067906475
stage4,0.5,current_progress,320,13,13,0.1858989647391976,0.31728095119083244,0.2040111810036005,0.8137222200430319,0.1725866849612669,0.8147290934747227,0.45331344612281066
quarantined_shared_path,0.5,current_progress,1047,13,39,0.10530448151708233,0.2061497866026912,0.3391375673201602,0.7456572024228902,0.06850498624914528,0.9443429744375057,0.5198906504034313
development_oof,0.5,wrench_history,4314,104,118,0.07808232065918821,0.1675584570520685,-0.16685393262626302,0.2666451202430133,0.009305438151592002,1.039971702138848,0.8638665821358157
stage4,0.5,wrench_history,320,13,13,0.26178448241902463,0.5316480384015253,-1.2349478885980179,0.5372768815819837,0.1725866849612669,0.8147290934747227,0.762630114218743
quarantined_shared_path,0.5,wrench_history,1047,13,39,0.13288128513564576,0.3054808247939658,-0.45115296861327714,0.5288938915197685,0.06850498624914528,0.9443429744375057,0.8270789373994365
development_oof,0.5,progress_wrench_motion,4314,104,118,0.060748728034534,0.13575178261996626,0.23409505838592748,0.37141884622008964,0.009305438151592002,1.039971702138848,0.7136358833474241
stage4,0.5,progress_wrench_motion,320,13,13,0.1907297223589442,0.3637992137218339,-0.046507829428936276,0.8271440479195312,0.1725866849612669,0.8147290934747227,0.5115685782073742
quarantined_shared_path,0.5,progress_wrench_motion,1047,13,39,0.1088248028405179,0.23120203064709785,0.16875590360102988,0.8090918632547349,0.06850498624914528,0.9443429744375057,0.6238525019347305
development_oof,0.5,contact_wrench_history,4314,104,118,0.06747241831929564,0.13465219158372124,0.24645248529154407,0.548235465029158,0.009305438151592002,1.039971702138848,0.8698999718230516
stage4,0.5,contact_wrench_history,320,13,13,0.4743872238078452,1.477614121469891,-16.26398442893036,0.9180649416792913,0.1725866849612669,0.8147290934747227,0.6866666870847473
quarantined_shared_path,0.5,contact_wrench_history,1047,13,39,0.15263709280563165,0.5284588319000254,-3.3427777742597033,0.8896204728916256,0.06850498624914528,0.9443429744375057,0.7579556778416059
development_oof,0.5,progress_contact_motion,4314,104,118,0.054912194135406406,0.11737319913272902,0.4274391183233889,0.4701708428183526,0.009305438151592002,1.039971702138848,0.6792230205691766
stage4,0.5,progress_contact_motion,320,13,13,0.394686710336172,1.2071682426591444,-10.522708446391931,0.9396969409049382,0.1725866849612669,0.8147290934747227,0.49711860046308204
