evaluation,horizon_s,model,hidden_load,definition,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
stage4,0.5,torque_only,True,mean_5N_sensitivity,7,7,7,1.0053255299698696,1.0174745635227307,-1661.6555045860139,,1.0,-0.011368012706643836,0.42857142857142855
stage4,0.5,current_progress,True,instant_10N_sensitivity,8,5,5,0.2994442863432522,0.3305089471573769,-174.24186208387835,,1.0,-0.013102149311915055,0.2
stage4,0.5,current_progress,True,mean_5N_sensitivity,7,7,7,0.21547121061953173,0.23209296728277407,-85.51255030297166,,1.0,-0.011368012706643836,0.14285714285714285
stage4,0.5,wrench_history,True,instant_10N_sensitivity,8,5,5,1.3050564238127187,1.716067998116795,-4723.331924042907,,1.0,-0.013102149311915055,1.0
stage4,0.5,wrench_history,True,mean_5N_sensitivity,7,7,7,1.4321541401358262,1.8050806681693137,-5231.9716628980805,,1.0,-0.011368012706643836,1.0
stage4,0.5,progress_wrench_motion,True,instant_10N_sensitivity,8,5,5,1.0624821163716929,1.2795295077064315,-2625.4674890332067,,1.0,-0.013102149311915055,1.0
stage4,0.5,progress_wrench_motion,True,mean_5N_sensitivity,7,7,7,1.2183033031912782,1.3650040665007812,-2991.4234072545064,,1.0,-0.011368012706643836,1.0
stage4,1.0,force_only,True,instant_10N_sensitivity,5,3,3,1.1413221051018692,1.1427853972811342,-3967.666838551026,,1.0,-0.009138041267302797,1.0
stage4,1.0,force_only,True,mean_5N_sensitivity,4,4,4,1.1327254373775548,1.1340792632097083,-4851.927755147135,,1.0,-0.008087512530155265,1.0
stage4,1.0,torque_only,True,instant_10N_sensitivity,5,3,3,1.0498565336866421,1.0503236083600938,-3351.4440033193705,,1.0,-0.009138041267302797,1.0
stage4,1.0,torque_only,True,mean_5N_sensitivity,4,4,4,1.039455600659874,1.0399280436499014,-4079.595884404981,,1.0,-0.008087512530155265,1.0
stage4,1.0,current_progress,True,instant_10N_sensitivity,5,3,3,0.1731654053199817,0.21234818872346492,-136.02897200187377,,1.0,-0.009138041267302797,0.0
stage4,1.0,current_progress,True,mean_5N_sensitivity,4,4,4,0.07320022233308537,0.08507884166817939,-26.312417607326626,,1.0,-0.008087512530155265,0.0
stage4,1.0,wrench_history,True,instant_10N_sensitivity,5,3,3,2.490288248534063,2.660909066776588,-21515.68413543881,,1.0,-0.009138041267302797,1.0
stage4,1.0,wrench_history,True,mean_5N_sensitivity,4,4,4,2.130914806819125,2.4310819847051275,-22299.583026834585,,1.0,-0.008087512530155265,0.75
stage4,1.0,progress_wrench_motion,True,instant_10N_sensitivity,5,3,3,0.8478001730753886,0.943498438185145,-2704.1892254041086,,1.0,-0.009138041267302797,1.0
stage4,1.0,progress_wrench_motion,True,mean_5N_sensitivity,4,4,4,0.6845829759554667,0.7649282476247102,-2206.793271315232,,1.0,-0.008087512530155265,1.0
quarantined_shared_path,0.25,force_only,True,instant_10N_sensitivity,1,1,1,0.8248682964524771,0.8248682964524771,,,1.0,0.026285213275547444,0.0
quarantined_shared_path,0.25,force_only,True,mean_5N_sensitivity,4,4,4,1.113261893771171,1.1310355511546049,-6852.143381080781,,1.0,0.006793363881337841,0.75
quarantined_shared_path,0.25,torque_only,True,instant_10N_sensitivity,1,1,1,1.0164696057444942,1.0164696057444942,,,1.0,0.026285213275547444,1.0
quarantined_shared_path,0.25,torque_only,True,mean_5N_sensitivity,4,4,4,1.0850266087841371,1.0888784096248916,-6350.789242476249,,1.0,0.006793363881337841,0.75
quarantined_shared_path,0.25,current_progress,True,instant_10N_sensitivity,1,1,1,0.17360923456812738,0.17360923456812738,,,1.0,0.026285213275547444,1.0
quarantined_shared_path,0.25,current_progress,True,mean_5N_sensitivity,4,4,4,0.08285728994115492,0.0981452839561569,-50.60314582212936,,1.0,0.006793363881337841,0.25
quarantined_shared_path,0.25,wrench_history,True,instant_10N_sensitivity,1,1,1,1.0054959525476028,1.0054959525476028,,,1.0,0.026285213275547444,1.0
quarantined_shared_path,0.25,wrench_history,True,mean_5N_sensitivity,4,4,4,0.7809927642788439,0.9746197895199921,-5087.710648229109,,1.0,0.006793363881337841,0.75
