evaluation,horizon_s,model,mode,stalled_trajectories,detected_before_confirmation,detected_before_lookback,median_lead_to_confirmation_s,min_lead_to_confirmation_s,nonstalled_trajectories,nonstall_alerts,nonstall_alert_rate,nonstall_alert_rate_groupweighted,trajectories_without_eligible_windows
stage4,0.5,contact_wrench_history,semantic_eta_0.5,7,7,1,0.2916666666664014,0.2250000000028649,6,0,0.0,0.0,0
development_oof,0.5,progress_contact_motion,calibrated,6,4,0,0.29999999999762395,0.26666666666278616,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,0.5,progress_contact_motion,semantic_eta_0.5,6,2,0,0.23749999999654392,0.20833333333030168,112,1,0.008928571428571428,0.009900990099009901,0
quarantined_shared_path,0.5,progress_contact_motion,calibrated,11,11,5,0.33333333333757764,0.2583333333295741,28,2,0.07142857142857142,0.07692307692307691,0
quarantined_shared_path,0.5,progress_contact_motion,semantic_eta_0.5,11,11,1,0.24999999999977263,0.15833333333102928,28,0,0.0,0.0,0
stage4,0.5,progress_contact_motion,calibrated,7,7,5,0.6000000000076398,0.2250000000028649,6,0,0.0,0.0,0
stage4,0.5,progress_contact_motion,semantic_eta_0.5,7,7,1,0.2916666666664014,0.2250000000028649,6,0,0.0,0.0,0
development_oof,0.5,persistence,calibrated,6,1,1,0.8583333333208429,0.8583333333208429,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,0.5,persistence,semantic_eta_0.5,6,1,1,0.8583333333208429,0.8583333333208429,112,14,0.125,0.13861386138613863,0
quarantined_shared_path,0.5,persistence,calibrated,11,6,0,0.050000000000295586,0.016666666666878882,28,0,0.0,0.0,0
quarantined_shared_path,0.5,persistence,semantic_eta_0.5,11,8,0,0.05416666666656056,0.016666666666878882,28,0,0.0,0.0,0
stage4,0.5,persistence,calibrated,7,6,0,0.06249999999994316,0.025000000000318323,6,0,0.0,0.0,0
stage4,0.5,persistence,semantic_eta_0.5,7,7,0,0.07499999999999574,0.050000000000636646,6,0,0.0,0.0,0
development_oof,0.5,force_threshold,calibrated,6,1,1,0.7583333333222981,0.7583333333222981,112,12,0.10714285714285714,0.11881188118811882,0
development_oof,0.5,force_threshold,force_1N,6,1,1,0.7583333333222981,0.7583333333222981,112,11,0.09821428571428571,0.10891089108910892,0
development_oof,0.5,force_threshold,force_2N,6,0,0,,,112,0,0.0,0.0,0
development_oof,0.5,force_threshold,force_5N,6,0,0,,,112,0,0.0,0.0,0
development_oof,0.5,force_threshold,force_10N,6,0,0,,,112,0,0.0,0.0,0
development_oof,0.5,force_threshold,force_20N,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.5,force_threshold,calibrated,11,5,2,0.3833333333329847,0.13333333333503106,28,0,0.0,0.0,0
quarantined_shared_path,0.5,force_threshold,force_1N,11,5,2,0.3833333333329847,0.13333333333503106,28,1,0.03571428571428571,0.03846153846153846,0
quarantined_shared_path,0.5,force_threshold,force_2N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.5,force_threshold,force_5N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.5,force_threshold,force_10N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.5,force_threshold,force_20N,11,0,0,,,28,0,0.0,0.0,0
stage4,0.5,force_threshold,calibrated,7,5,2,0.2916666666664014,0.10000000000127329,6,0,0.0,0.0,0
stage4,0.5,force_threshold,force_1N,7,5,2,0.2916666666664014,0.10000000000127329,6,0,0.0,0.0,0
stage4,0.5,force_threshold,force_2N,7,0,0,,,6,0,0.0,0.0,0
