trajectory_id,study,group_id,role,family,stalled,stall_confirmation_s,stall_lookback_start_s,insertion_success,numerically_valid,grasp_retained,max_depth_mm,max_normal_load_n,windows
Forge-Phase2-100/slot092_try00,Forge-Phase2-100,Phase2A:slot092,development,offset_tilt,False,,,True,True,True,20.06155773997307,1.253751277923584,114
Forge-Phase2-100/slot093_try00,Forge-Phase2-100,Phase2A:slot093,development,x_offset,False,,,True,True,True,19.9919655919075,1.9229838848114014,114
Forge-Phase2-100/slot094_try00,Forge-Phase2-100,Phase2A:slot094,development,y_offset,False,,,True,True,True,20.076920837163925,0.9573241472244263,114
Forge-Phase2-100/slot095_try00,Forge-Phase2-100,Phase2A:slot095,development,diagonal_offset,False,,,True,True,True,19.908150285482407,2.4442827701568604,114
Forge-Phase2-100/slot096_try00,Forge-Phase2-100,Phase2A:slot096,development,tilt_only,True,9.708333333192058,9.208333333192058,False,True,True,18.71417984366417,1.8035773038864136,114
Forge-Phase2-100/slot097_try00,Forge-Phase2-100,Phase2A:slot097,development,offset_tilt,True,9.658333333192786,9.158333333192786,False,True,True,16.586174815893173,3.3945670127868652,114
Forge-Phase2-100/slot098_try00,Forge-Phase2-100,Phase2A:slot098,development,tilt_only,False,,,True,True,True,20.112132281064987,0.0,114
Forge-Phase2-100/slot099_try00,Forge-Phase2-100,Phase2A:slot099,development,offset_tilt,False,,,True,True,True,20.001349598169327,1.6782307624816895,114
Forge-Phase2B-Stage1/b000_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_x_pitch_+1_tilt,quarantined_shared_path,tilt_only,False,,,True,True,True,19.801130145788193,2.4152028560638428,87
Forge-Phase2B-Stage1/b001_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_x_pitch_+1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.113037526607513,0.0,87
Forge-Phase2B-Stage1/b002_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_x_pitch_+1_combined,development,offset_tilt,False,,,False,True,True,19.37554180622101,2.759577751159668,87
Forge-Phase2B-Stage1/b003_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_x_pitch_-1_tilt,development,tilt_only,False,,,True,True,True,19.882822036743164,3.207616090774536,87
Forge-Phase2B-Stage1/b004_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_x_pitch_-1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.04759907722473,0.16250190138816833,87
Forge-Phase2B-Stage1/b005_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_x_pitch_-1_combined,quarantined_shared_path,offset_tilt,False,,,False,True,True,19.357410818338394,1.9003270864486694,87
Forge-Phase2B-Stage1/b006_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_y_roll_+1_tilt,quarantined_shared_path,tilt_only,False,,,True,True,True,19.916975498199463,3.027400493621826,87
Forge-Phase2B-Stage1/b007_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_y_roll_+1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,20.089445263147354,0.09584815055131912,87
Forge-Phase2B-Stage1/b008_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_y_roll_+1_combined,quarantined_shared_path,offset_tilt,False,,,True,True,True,19.97496709227562,0.28012651205062866,87
Forge-Phase2B-Stage1/b009_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_y_roll_-1_tilt,development,tilt_only,False,,,True,True,True,19.81230601668358,6.7082014083862305,87
